CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2013;Huesca;Maestro Educación Primaria;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;5;0;0;;;29/04/2018
2013;Huesca;Maestro Educación Primaria;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;6;0;0;;;29/04/2018
2013;Huesca;Maestro Educación Primaria;Diplomatura o equivalente;Graduado;Hombres;3;0;0;0;9.00;56.16;29/04/2018
2013;Huesca;Maestro Educación Primaria;Diplomatura o equivalente;Graduado;Mujeres;2;0;0;0;5.00;64.70;29/04/2018
2013;Huesca;Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;1;1;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;6;5;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Infantil;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Infantil;Grado;Graduado;Hombres;7;0;0;0;4.00;94.86;29/04/2018
2013;Huesca;Magisterio en Educación Infantil;Grado;Graduado;Mujeres;70;0;0;0;4.00;97.07;29/04/2018
2013;Huesca;Magisterio en Educación Infantil;Grado;Incumple Régimen de permanencia;Mujeres;0;1;1;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;9;7;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;9;7;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;29/04/2018
2013;Huesca;Magisterio en Educación Primaria;Grado;Graduado;Hombres;26;0;0;0;4.00;97.54;29/04/2018
2013;Huesca;Magisterio en Educación Primaria;Grado;Graduado;Mujeres;36;0;0;0;4.00;97.07;29/04/2018
2013;Huesca;Medicina;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;29/04/2018
2013;Huesca;Medicina;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;29/04/2018
2013;Huesca;Medicina;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;29/04/2018
2013;Huesca;Medicina;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;29/04/2018
2013;Huesca;Medicina;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;1;0;0;;;29/04/2018
2013;Huesca;Nutrición Humana y Dietética;Grado;Abandono Voluntario;Mujeres;0;9;7;0;;;29/04/2018
2013;Huesca;Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2013;Huesca;Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;29/04/2018
2013;Huesca;Nutrición Humana y Dietética;Grado;Graduado;Hombres;7;0;0;0;4.00;98.96;29/04/2018
2013;Huesca;Nutrición Humana y Dietética;Grado;Graduado;Mujeres;18;0;0;0;4.00;96.86;29/04/2018
2013;Huesca;Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Mujeres;0;0;0;5;;;29/04/2018
2013;Huesca;Odontología;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;29/04/2018
2013;Huesca;Odontología;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;29/04/2018
2013;Huesca;Odontología;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;29/04/2018
2013;Huesca;Odontología;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;29/04/2018
2013;Huesca;Odontología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;29/04/2018
2013;Huesca;Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;14;0;0;0;1.00;100.00;29/04/2018
2013;Huesca;Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;6;0;0;0;1.00;100.00;29/04/2018
2013;Huesca;Relaciones Laborales;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;2;0;0;;;29/04/2018
2013;Huesca;Relaciones Laborales;Diplomatura o equivalente;Graduado;Hombres;1;0;0;0;18.00;61.73;29/04/2018
2013;Huesca;Relaciones Laborales;Diplomatura o equivalente;Graduado;Mujeres;6;0;0;0;14.80;54.20;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;7;4;0;;;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;6;4;0;;;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;1;0;;;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Graduado;Hombres;3;0;0;0;4.00;100.00;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Graduado;Mujeres;5;0;0;0;4.00;97.15;29/04/2018
2013;Teruel;Administración y Dirección de Empresas;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;29/04/2018
2013;Teruel;Bellas Artes;Grado;Abandono Voluntario;Hombres;0;6;2;0;;;29/04/2018
2013;Teruel;Bellas Artes;Grado;Abandono Voluntario;Mujeres;0;15;7;0;;;29/04/2018
2013;Teruel;Bellas Artes;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;29/04/2018
2013;Teruel;Bellas Artes;Grado;Graduado;Hombres;12;0;0;0;4.64;93.01;29/04/2018
2013;Teruel;Bellas Artes;Grado;Graduado;Mujeres;24;0;0;0;4.46;97.65;29/04/2018
2013;Teruel;Enfermería;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;29/04/2018
2013;Teruel;Enfermería;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;29/04/2018
2013;Teruel;Enfermería;Grado;Graduado;Hombres;5;0;0;0;4.00;97.26;29/04/2018
2013;Teruel;Enfermería;Grado;Graduado;Mujeres;27;0;0;0;3.96;97.91;29/04/2018
2013;Teruel;Enfermería;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;29/04/2018
2013;Teruel;Ingeniería Electrónica y Automática;Grado;Abandono Voluntario;Hombres;0;11;7;0;;;29/04/2018
2013;Teruel;Ingeniería Electrónica y Automática;Grado;Graduado;Hombres;7;0;0;0;4.00;95.86;29/04/2018
2013;Teruel;Ingeniería Electrónica y Automática;Grado;Graduado;Mujeres;1;0;0;0;;;29/04/2018
2013;Teruel;Ingeniería Electrónica y Automática;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;29/04/2018
2013;Teruel;Ingeniería Informática;Grado;Abandono Voluntario;Hombres;0;9;5;0;;;29/04/2018
2013;Teruel;Ingeniería Informática;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;29/04/2018
2013;Teruel;Ingeniería Informática;Grado;Graduado;Hombres;1;0;0;0;4.00;100.00;29/04/2018
2013;Teruel;Ingeniería Informática;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;29/04/2018
2013;Teruel;Ingeniero Técnico de Telecomunicación;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;5;0;0;;;29/04/2018
2013;Teruel;Ingeniero Técnico de Telecomunicación;Diplomatura o equivalente;Graduado;Hombres;14;0;0;0;14.31;37.12;29/04/2018
2013;Teruel;Ingeniero Técnico de Telecomunicación;Diplomatura o equivalente;Graduado;Mujeres;4;0;0;0;12.50;43.22;29/04/2018
2013;Teruel;Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;7;0;0;;;29/04/2018
2013;Teruel;Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;5;0;0;;;29/04/2018
2013;Teruel;Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2013;Teruel;Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;Graduado;Hombres;13;0;0;0;10.33;47.16;29/04/2018
2013;Teruel;Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;Graduado;Mujeres;5;0;0;0;9.40;49.37;29/04/2018
